ID	内容
AttactSkill	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" > 使用 </font><font color="#307127" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" > 对 </font><font color="#0052e9" face = "HelveticaBD32" >#v4#</font><font color="#000000" face = "HelveticaBD32" > 造成 </font><font color="#fe0000" face = "HelveticaBD32" >#v5#</font><font color="#000000" face = "HelveticaBD32" > 点伤害</font>
AttactSkillEnemy	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" > 使用 </font><font color="#307127" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" > 对 </font><font color="#7900ff" face = "HelveticaBD32" >#v4#</font><font color="#000000" face = "HelveticaBD32" > 造成 </font><font color="#fe0000" face = "HelveticaBD32" >#v5#</font><font color="#000000" face = "HelveticaBD32" > 点伤害</font>
AttactNormal	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" > 使用 普通攻击 对 </font><font color="#0052e9" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" > 造成 </font><font color="#fe0000" face = "HelveticaBD32" >#v4#</font><font color="#000000" face = "HelveticaBD32" > 点伤害</font>
AttactNormalEnemy	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" > 使用 普通攻击 对 </font><font color="#7900ff" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" > 造成 </font><font color="#fe0000" face = "HelveticaBD32" >#v4#</font><font color="#000000" face = "HelveticaBD32" > 点伤害</font>
AddBuff	<font color="#00ff00" face = "HelveticaBD22" >[#v1#]</font>
DeBuff	<font color="#ff0000" face = "HelveticaBD22" >[#v1#]</font>
Victory	<br/><font color="#02fd20" face = "HelveticaBD32" >战斗胜利！</font>
Lose	<br/><font color="#ee1221" face = "HelveticaBD32" >战斗失败...</font>
GotCoin	<font color="#7c00d3" face = "HelveticaBD32" >获得金币：#v1#</font>
GotExp	<font color="#d100e4" face = "HelveticaBD32" >战斗经验：#v1#</font>
FightReport	<font  color="#faf84a" face = "HelveticaBD32" size ="100"> </font><br/><font  color="#faf84a" face = "HelveticaBD32" size ="100"><p style="margin:10px" >正在计算战斗结果...</p></font><br/><p style="margin:10px" ><font color="#f0deec" face = "HelveticaBD32">在</font><font color="#02fd20" face = "HelveticaBD32"> #v1# </font><font color="#f0deec" face = "HelveticaBD32">内</font><br/><font color="#f0deec" face = "HelveticaBD32">您在地图</font><font color="#02fd20" face = "HelveticaBD32"> #v2# </font><font color="#f0deec" face = "HelveticaBD32">战斗了</font><font color="#02fd20" face = "HelveticaBD32"> #v3# </font><font color="#f0deec" face = "HelveticaBD32">次</font><br/><font color="#f0deec" face = "HelveticaBD32">战      胜：</font><font color="#02fd20" face = "HelveticaBD32">#v4#</font><br/><font color="#f0deec" face = "HelveticaBD32">战      败：</font><font color="#02fd20" face = "HelveticaBD32">#v5#</font><br/><font color="#f0deec" face = "HelveticaBD32">获得经验：</font><font color="#02fd20" face = "HelveticaBD32">#v6#</font><br/><font color="#f0deec" face = "HelveticaBD32">获得金币：</font><font color="#02fd20" face = "HelveticaBD32">#v7#</font><br/></p>
