ID	内容
3	<font  color="#000000" face = "HelveticaBD32" size ="100">【系统】：</font><font color="#f63345" face = "HelveticaBD32" size ="100">#v1#</font>
4	<font  color="#2951EF" face = "HelveticaBD32" size ="100">#v1#<img src="#v3#"/>#v4#：</font><font color="#000000" face = "HelveticaBD32" size ="100">#v2#</font>
5	<font  color="#000000" face = "HelveticaBD32" size ="100">正在搜索地图怪，下一场战斗即将开始...(#v1#)</font>
9	<font  color="#D62CF7" face = "HelveticaBD32" size ="100">#v1#<img src="#v3#"/>#v4#：</font><font color="#000000" face = "HelveticaBD32" size ="100">#v2#</font>
7	战斗胜利
10	<font  color="#ff0000" size ="100">#v1#</font>:<font face="font3" color="#00ff00" size ="100">[#v2#]</font>:<font face="font3" color="#00ff00" size ="100">#v3#</font>
11	战士
12	猎人
13	法师
14	已出战
15	休息中
16	<font face = "Helvetica26" color="#ffffff" >#v1#</font><font face = "Helvetica24" color="#02fd20" >[#v2#]</font><font face = "Helvetica24" color="#ffffff">#v3#</font>
17	力量
18	敏捷
19	智力
20	<font color="#000000" face = "HelveticaBD32" >正在努力为您搜索地图怪...(#v1#)</font>
6	<font color="#000000" face = "HelveticaBD32" >战斗恢复中，休息一下...(#v1#)</font>
8	<font color="#000000" face = "HelveticaBD32" >正在努力为您搜索地图怪...(#v1#)</font>
21	<font  color="#000000" size ="100" face = "HelveticaBD32" >你遇到了</font><font  color="#0085e2" size ="100" face = "HelveticaBD32" > lv.#v1# </font><font  color="#0085e2" size ="100" face = "HelveticaBD32" >#v2#</font><font  color="#0085e2" size ="100" face = "HelveticaBD32" > HP:#v3#</font>
22	<br/>
23	<font  color="#f9b522" face = "HelveticaBD32" size ="100">战力: #v1#</font><br/><font  color="#9f67bf" face = "HelveticaBD32" size ="100">属性: 总属性对<font  color="#faf84a" face = "HelveticaBD32" size ="100"> #v2# </font>级敌人的效果</font>
24	<font  color="#fefefe" face = "HelveticaBD32" size ="100">基础属性:</font>
25	<font  color="#fefefe" face = "HelveticaBD32" size ="100">战斗属性:</font>
26	<font  color="#fefefe" face = "HelveticaBD32" size ="100">神器属性:</font>
