id	Ãû³Æ
111	Android_Wvgame
0	Android_Default
1	Android_91
2	Android_UC
3	Android_360
4	Android_DangLe
5	Android_XiaoMi
6	Android_WanDouJia
7	Android_BaiduDuoKu
8	Android_BaiduAppCenter
9	Android_AndroidMarket91
10	Android_KuWo
11	Android_FeiLiu
12	Android_JiFeng
13	Android_AnZhi
14	Android_RenRen
15	Android_Sina
16	Android_Game4399
17	Android_YingYongHui
23	Android_JinShan
24	Android_BaiDuGame
25	Android_LvDouGame
26	Android_Oppo
27	Android_ChuKong
28	Android_XunLei
29	Android_GTV
30	Android_KuGou
31	Android_HuaWei
32	Android_SouGou
33	Android_BaiDuMobile
34	Android_CMGE
35	Android_WvgameYdmm
36	Android_PiPaw
37	Android_Lenovo
38	Android_WvgameNduoa
39	Android_Sjyx
40	Android_OuPeng
41	Android_WvgameMeizu
42	Android_37ww
43	Android_Keke
44	Android_WvgameLenoq
46	Android_Wvgame189wo
47	Android_37wan
48	Android_WvgameMZYD
49	Android_Jinli
50	Android_WvgameGbill
51	Android_Wvgameggtop
52	Android_Mumayi
53	Android_37wan
54	Android_Vivo
55	Android_Kupai
57	Android_MuZhiWan
58	Android_HTC
59	Android_MengChengHuDong
60	Android_PPTV
61	Android_PPS
62	Android_WvgameJiZhan
63	Android_Youku
64	Android_Openqq
65	Android_Jinli
66	Android_MiPad
68	Android_Kupai
69	Android_WvgameGash
72	Android_ItoolsOpenqq
73	Android_BaoFeng
75	Android_37ZF1
76	Android_37ZF2
100	Android_WvgameCard
101	Android_Wvgamevnpt
133	Android_Wvgameggbw
