id	装备id	神器属性个数	所需声望	所需熔炼值	最低等级	最高等级
1	50200010	1	1000	8000	1	20
2	50200020	1	1000	8000	1	20
3	50200030	1	1000	8000	1	20
4	50200080	1	1000	8000	1	20
5	50200090	1	1000	8000	1	20
6	50200100	1	1000	8000	1	20
7	50200040	1	1000	8000	1	20
8	50200070	1	1000	8000	1	20
9	50201050	1	1000	8000	1	20
10	50201060	1	1000	8000	1	20
11	50202050	1	1000	8000	1	20
12	50202060	1	1000	8000	1	20
13	50203050	1	1000	8000	1	20
14	50203060	1	1000	8000	1	20
15	50250010	1	1000	8000	21	25
16	50250020	1	1000	8000	21	25
17	50250030	1	1000	8000	21	25
18	50250080	1	1000	8000	21	25
19	50250090	1	1000	8000	21	25
20	50250100	1	1000	8000	21	25
21	50250040	1	1000	8000	21	25
22	50250070	1	1000	8000	21	25
23	50251050	1	1000	8000	21	25
24	50251060	1	1000	8000	21	25
25	50252050	1	1000	8000	21	25
26	50252060	1	1000	8000	21	25
27	50253050	1	1000	8000	21	25
28	50253060	1	1000	8000	21	25
29	50300010	1	1000	8000	26	30
30	50300020	1	1000	8000	26	30
31	50300030	1	1000	8000	26	30
32	50300080	1	1000	8000	26	30
33	50300090	1	1000	8000	26	30
34	50300100	1	1000	8000	26	30
35	50300040	1	1000	8000	26	30
36	50300070	1	1000	8000	26	30
37	50301050	1	1000	8000	26	30
38	50301060	1	1000	8000	26	30
39	50302050	1	1000	8000	26	30
40	50302060	1	1000	8000	26	30
41	50303050	1	1000	8000	26	30
42	50303060	1	1000	8000	26	30
43	50350010	1	1000	8000	31	35
44	50350020	1	1000	8000	31	35
45	50350030	1	1000	8000	31	35
46	50350080	1	1000	8000	31	35
47	50350090	1	1000	8000	31	35
48	50350100	1	1000	8000	31	35
49	50350040	1	1000	8000	31	35
50	50350070	1	1000	8000	31	35
51	50351050	1	1000	8000	31	35
52	50351060	1	1000	8000	31	35
53	50352050	1	1000	8000	31	35
54	50352060	1	1000	8000	31	35
55	50353050	1	1000	8000	31	35
56	50353060	1	1000	8000	31	35
57	50400010	1	1000	8000	36	40
58	50400020	1	1000	8000	36	40
59	50400030	1	1000	8000	36	40
60	50400080	1	1000	8000	36	40
61	50400090	1	1000	8000	36	40
62	50400100	1	1000	8000	36	40
63	50400040	1	1000	8000	36	40
64	50400070	1	1000	8000	36	40
65	50401050	1	1000	8000	36	40
66	50401060	1	1000	8000	36	40
67	50402050	1	1000	8000	36	40
68	50402060	1	1000	8000	36	40
69	50403050	1	1000	8000	36	40
70	50403060	1	1000	8000	36	40
71	50450010	1	1000	8000	41	45
72	50450020	1	1000	8000	41	45
73	50450030	1	1000	8000	41	45
74	50450080	1	1000	8000	41	45
75	50450090	1	1000	8000	41	45
76	50450100	1	1000	8000	41	45
77	50450040	1	1000	8000	41	45
78	50450070	1	1000	8000	41	45
79	50451050	1	1000	8000	41	45
80	50451060	1	1000	8000	41	45
81	50452050	1	1000	8000	41	45
82	50452060	1	1000	8000	41	45
83	50453050	1	1000	8000	41	45
84	50453060	1	1000	8000	41	45
85	50500010	1	1000	8000	46	50
86	50500020	1	1000	8000	46	50
87	50500030	1	1000	8000	46	50
88	50500080	1	1000	8000	46	50
89	50500090	1	1000	8000	46	50
90	50500100	1	1000	8000	46	50
91	50500040	1	1000	8000	46	50
92	50500070	1	1000	8000	46	50
93	50501050	1	1000	8000	46	50
94	50501060	1	1000	8000	46	50
95	50502050	1	1000	8000	46	50
96	50502060	1	1000	8000	46	50
97	50503050	1	1000	8000	46	50
98	50503060	1	1000	8000	46	50
99	50550010	1	1000	8000	51	55
100	50550020	1	1000	8000	51	55
101	50550030	1	1000	8000	51	55
102	50550080	1	1000	8000	51	55
103	50550090	1	1000	8000	51	55
104	50550100	1	1000	8000	51	55
105	50550040	1	1000	8000	51	55
106	50550070	1	1000	8000	51	55
107	50551050	1	1000	8000	51	55
108	50551060	1	1000	8000	51	55
109	50552050	1	1000	8000	51	55
110	50552060	1	1000	8000	51	55
111	50553050	1	1000	8000	51	55
112	50553060	1	1000	8000	51	55
113	50600010	1	1000	8000	56	60
114	50600020	1	1000	8000	56	60
115	50600030	1	1000	8000	56	60
116	50600080	1	1000	8000	56	60
117	50600090	1	1000	8000	56	60
118	50600100	1	1000	8000	56	60
119	50600040	1	1000	8000	56	60
120	50600070	1	1000	8000	56	60
121	50601050	1	1000	8000	56	60
122	50601060	1	1000	8000	56	60
123	50602050	1	1000	8000	56	60
124	50602060	1	1000	8000	56	60
125	50603050	1	1000	8000	56	60
126	50603060	1	1000	8000	56	60
127	50650010	1	1000	8000	61	65
128	50650020	1	1000	8000	61	65
129	50650030	1	1000	8000	61	65
130	50650080	1	1000	8000	61	65
131	50650090	1	1000	8000	61	65
132	50650100	1	1000	8000	61	65
133	50650040	1	1000	8000	61	65
