id	名字	bossId	地图图片路径	怪物等级区间	装备掉率	副本类型
1	试炼谷	1001	map/map_001.png	1-3	920	0
2	北境古堡	1002	map/map_002.png	2-4	920	0
3	日光森林	1003	map/map_003.png	3-6	920	0
4	暮光湖	1004	map/map_004.png	5-8	920	0
5	嚎叫深渊	1005	map/map_005.png	7-10	1127	0
6	南风堡	1006	map/map_006.png	9-12	1127	0
7	圣光教堂	1007	map/map_007.png	11-14	1127	0
8	美酒地窖	1008	map/map_008.png	13-16	1160	0
9	钢铁之门	1009	map/map_009.png	15-18	1192	0
10	红龙巢穴	1010	map/map_010.png	17-20	1224	0
11	双龙窟	1011	map/map_011.png	19-22	1217	0
12	血色熔炉	1012	map/map_012.png	21-24	1248	0
13	绝望镇	1013	map/map_013.png	23-26	1620	0
14	艾达溶洞	1014	map/map_014.png	25-28	1610	0
15	城墙大门	1015	map/map_015.png	27-30	1600	0
16	城墙中部	1016	map/map_016.png	29-32	1739	0
17	凛风城	1017	map/map_017.png	31-34	1765	0
18	古达姆	1018	map/map_018.png	33-36	1791	0
19	密林实验室	1019	map/map_019.png	35-38	1816	0
20	北海圣坛	1020	map/map_020.png	37-40	1840	0
21	怒牙要塞	1021	map/map_021.png	39-42	1864	0
22	尘沙堡	1022	map/map_022.png	41-44	1888	0
23	潮汐遗迹	1023	map/map_023.png	43-46	1946	0
24	沐星城	1024	map/map_024.png	45-48	2004	0
25	猛犸之墓	1025	map/map_025.png	47-50	2004	0
26	霜狼十字	1026	map/map_026.png	49-52	2004	0
27	时光壁炉	1027	map/map_027.png	51-54	2054	0
28	折月城堡	1028	map/map_028.png	53-56	2054	0
29	暗魔塔	1029	map/map_029.png	55_58	2054	0
30	流金大厅	1030	map/map_030.png	57-60	2054	0
31	塔姆丛林	1031	map/map_031.png	59-62	2054	0
32	十三王陵	1032	map/map_032.png	61-64	2054	0
33	巨木之森	1033	map/map_033.png	63-66	2054	0
34	红魔监狱	1034	map/map_034.png	65-68	2054	0
35	金砂堡	1035	map/map_035.png	67-70	2054	0
36	达雅之核	1036	map/map_036.png	69-72	2054	0
37	红谷绞肉机	1037	map/map_037.png	71-74	2150	0
38	埋骨地	1038	map/map_038.png	73-76	2170	0
39	流云古城	1039	map/map_039.png	75-78	2190	0
40	饮光崖	1040	map/map_040.png	77-80	2210	0
41	黑风要塞	1041	map/map_041.png	79-82	2230	0
42	努玛遗迹	1042	map/map_042.png	81-84	2250	0
43	幽灵大厅	1043	map/map_043.png	83-86	2270	0
44	寒古山脉	1044	map/map_044.png	85-88	2290	0
45	铁卫雕像	1045	map/map_045.png	87-90	2310	0
