id	名称	职业	开启等级	消耗MP	冷却回合	技能脚本	技能描述	图标	战斗行动	战斗记录	roleid
1	勇猛一击	1	5	100	1	1	对一名敌人造成200%的物理伤害	skill/101.png	1	1	0
2	战地急救	1	10	200	1	2	恢复我方生命值最低的一人10%的最大生命值	skill/102.png	1	1	0
5	战争号令	1	15	150	1	5	增加我方三人30%的伤害，50%的护甲，持续3回合	skill/105.png	1	1	0
4	雷霆震击	1	20	150	1	4	对3名敌人造成100%的物理伤害，并且50%的概率使其晕眩1回合	skill/104.png	1	1	0
9	破甲攻击	1	25	100	1	9	对一名敌人进行一次普通攻击，50%概率降低其80%的护甲2回合	skill/109.png	1	1	0
3	捍卫	1	30	150	1	3	提升自己的防御，之后2回合受到的伤害减少60%,并使怪物优先攻击你	skill/103.png	1	1	0
7	深度创伤	1	35	0	1	7	对一名敌人进行一次普通攻击，50%概率使其在2回合内无法回复生命	skill/107.png	1	1	0
6	风暴投掷	1	40	200	1	6	对一名敌人造成150%的物理伤害，并使其晕眩1回合	skill/106.png	1	1	0
8	剑刃狂舞	1	45	300	1	8	对三名敌人造成200%的物理伤害	skill/108.png	1	1	0
10	狂暴	1	50	300	1	10	使自己狂暴，3回合内普通攻击100%暴击且免疫所有不良状态	skill/110.png	1	1	0
11	毒蝎钉刺	2	5	100	1	11	进行一次普通攻击，50%概率使其中毒2回合，每回合减少当前生命值的4%	skill/201.png	1	1	0
12	晕眩射击	2	10	100	1	12	对一名敌人进行一次普通攻击，50%的概率使其晕眩1回合	skill/202.png	1	1	0
13	吸取生命	2	15	200	1	13	对一名敌人造成100%的魔法伤害，并回复等值的生命值	skill/203.png	1	1	0
14	多重射击	2	20	200	1	14	随机进行普通攻击两次，可作用于同一个敌人	skill/204.png	1	1	0
15	魔咒之箭	2	25	200	1	15	使自己之后3回合普通攻击附加伤害50%的魔法伤害	skill/205.png	1	1	0
16	致盲射击	2	30	150	1	16	对一名敌人进行一次普通攻击，降低对手70%的命中3回合	skill/206.png	1	1	0
17	天鹰守护	2	35	400	1	17	提升自己的100%的伤害，持续2回合	skill/207.png	1	1	0
18	眼镜蛇陷阱	2	40	300	1	18	使三名敌人中毒3回合，每回合减少当前生命值的4%	skill/208.png	1	1	0
19	沉默之箭	2	45	200	1	19	对一名敌人进行一次普通攻击，50%概率使其无法使用法术3回合	skill/209.png	1	1	0
20	伪装	2	50	250	1	20	使自己进入隐形状态，只会受到范围攻击伤害，持续2回合	skill/210.png	1	1	0
21	烈焰冲击	3	5	100	1	21	对一名敌人造成200%的魔法伤害	skill/301.png	1	1	0
22	寒霜冲击	3	10	150	1	22	对一名敌人造成150%的魔法伤害，降低其50%的伤害1回合	skill/302.png	1	1	0
23	冰霜护甲	3	15	200	1	23	给我方两人套上冰甲，3回合内受到普通攻击时80%的概率冻结攻击方1回合	skill/303.png	1	1	0
24	奥术爆破	3	20	200	1	24	对三名敌人造成150%的魔法伤害	skill/307.png	1	1	0
26	冰风暴	3	25	250	1	26	对三名敌人造成100%的魔法伤害，50%降低其50%的伤害2回合	skill/306.png	1	1	0
30	魔法护盾	3	30	0	1	30	给自己施加魔法护盾，每1点魔法值抵消5点伤害，持续2回合	skill/310.png	1	1	0
27	聚能冲击	3	35	100	1	27	造成175%的魔法伤害，每次施放会提高聚能冲击125%魔法伤害和500魔法消耗	skill/309.png	1	1	0
25	冥想	3	40	0	1	25	回复自己12%的最大魔法值	skill/305.png	1	1	0
28	炽焰风暴	3	45	350	1	28	立刻对三名敌人造成100%的魔法伤害，之后3回合每回合造成50%的魔法伤害	skill/308.png	1	1	0
29	炎爆术	3	50	250	1	29	对一个敌人造成300%的魔法伤害	skill/304.png	1	1	0
1001	勇猛一击	1001	4	100	1	1	对一名敌人造成200%的物理伤害	skill/101.png	1	1	7
1002	战地急救	1001	0	200	1	2	恢复我方生命值最低的一人10%的最大生命值	skill/102.png	1	1	7
1004	雷霆震击	1001	8	150	1	4	对3名敌人造成100%的物理伤害，并且50%的概率使其晕眩1回合	skill/104.png	1	1	7
1009	破甲攻击	1001	5	100	1	9	对一名敌人进行一次普通攻击，50%概率降低其80%的护甲2回合	skill/109.png	1	1	7
1007	深度创伤	1001	1	0	1	7	对一名敌人进行一次普通攻击，50%概率使其在2回合内无法回复生命	skill/107.png	1	1	7
1008	剑刃狂舞	1001	9	300	1	8	对三名敌人造成200%的物理伤害	skill/108.png	1	1	7
1011	毒蝎钉刺	1002	4	100	1	11	进行一次普通攻击，50%概率使其中毒2回合，每回合减少当前生命值的4%	skill/201.png	1	1	8
1012	晕眩射击	1002	0	100	1	12	对一名敌人进行一次普通攻击，50%的概率使其晕眩1回合	skill/202.png	1	1	8
1013	吸取生命	1002	1	200	1	13	对一名敌人造成100%的魔法伤害，并回复等值的生命值	skill/203.png	1	1	8
1014	多重射击	1002	8	200	1	14	随机进行普通攻击两次，可作用于同一个敌人	skill/204.png	1	1	8
1015	魔咒之箭	1002	5	200	1	15	使自己之后3回合普通攻击附加伤害50%的魔法伤害	skill/205.png	1	1	8
1018	眼镜蛇陷阱	1002	9	300	1	18	使三名敌人中毒3回合，每回合减少当前生命值的4%	skill/208.png	1	1	8
1022	寒霜冲击	1003	1	150	1	22	对一名敌人造成150%的魔法伤害，降低其50%的伤害1回合	skill/302.png	1	1	9
1023	冰霜护甲	1003	9	200	1	23	给我方两人套上冰甲，3回合内受到普通攻击时80%的概率冻结攻击方1回合	skill/303.png	1	1	9
1024	奥术爆破	1003	0	200	1	24	对三名敌人造成150%的魔法伤害	skill/307.png	1	1	9
1026	冰风暴	1003	4	250	1	26	对三名敌人造成100%的魔法伤害，50%降低其50%的伤害2回合	skill/306.png	1	1	9
1028	炽焰风暴	1003	5	350	1	28	立刻对三名敌人造成100%的魔法伤害，之后3回合每回合造成50%的魔法伤害	skill/308.png	1	1	9
1029	炎爆术	1003	8	250	1	29	对一个敌人造成300%的魔法伤害	skill/304.png	1	1	9
