vipLevel	买钻要求	商品数量(shopItemCount)	购买金币次数(buyCoinTimes)	快速战斗次数	每日挑战BOSS次数	可购买BOSS挑战次数	击败BOSS额外奖励	最高佣兵培养	可使用BOSS扫荡功能	可自动加入工会BOSS战	每日精英副本次数	精英副本次数	魂石次数	快速战斗经验金币加成
0	0	6	2	1	3	0	0	0	0	0	3	2	3	0
1	100	6	5	3	3	1	0	0	1	0	3	2	3	0
2	300	6	7	4	3	2	0	1	1	0	3	3	3	0
3	500	7	9	5	3	3	0	1	1	1	3	3	3	0
4	900	7	12	6	3	4	30000_40001_1	1	1	1	3	4	4	0
5	1500	7	15	7	3	5	30000_40001_1	2	1	1	3	4	4	5
6	3000	8	20	8	3	6	30000_40001_1	2	1	1	3	5	4	5
7	5000	8	25	9	3	7	30000_40002_1	2	1	1	3	5	4	10
8	7000	8	30	10	3	8	30000_40002_1	3	1	1	3	6	4	10
9	10000	9	35	11	3	9	30000_40002_1	3	1	1	3	6	5	15
10	15000	9	40	12	3	10	30000_40003_1	3	1	1	3	7	5	15
11	25000	9	50	13	3	11	30000_40003_1	3	1	1	3	8	5	20
12	45000	9	60	14	3	12	30000_40003_1	3	1	1	3	9	5	20
13	80000	9	70	16	3	13	30000_40003_1	3	1	1	3	10	6	25
14	140000	9	80	18	3	14	30000_40003_1	3	1	1	3	11	6	30
15	250000	9	100	20	3	15	30000_40003_1	3	1	1	3	12	6	40
