id	名称	类型	奖励	图标	描述
2000001	充200钻返利	2	10000_1001_50;40000_40151051_1_1,40000_40152051_1_2,40000_40153051_1_3	Item/gift2.png	钻石*50，15级紫色主手武器
2000002	充500钻返利	2	10000_1001_60;40000_50201050_1_1,40000_50202050_1_2,40000_50203051_1_3	Item/gift2.png	钻石*60，20级橙色主手武器
2000003	充1000钻返利	2	10000_1001_100,30000_50001_10	Item/gift2.png	钻石*100，铜钥匙*10
2000004	充1500钻返利	2	10000_1002_500000,30000_41001_10	Item/gift2.png	金币*50W，宝石袋*10
2000005	充2500钻返利	2	30000_10001_3,30000_30001_5	Item/gift2.png	神器碎片*3，小铜锤*5
2000006	充4000钻返利	2	30000_50002_5,30001_41002_3	Item/gift2.png	银钥匙*5，高级宝石袋*3
2000007	充6000钻返利	2	30000_30002_5,30000_10001_5	Item/gift2.png	小银锤*5，神器碎片*5
2000008	充8500钻返利	2	10000_1002_1000000,30000_60001_150	Item/gift2.png	金币*100W，精华*150
2000009	充11500钻返利	2	40000_50250022_1	Item/gift2.png	神器（25级戒指）*1
2000010	充15000钻返利	2	10000_1002_1000000,30000_60001_250	Item/gift2.png	金币*100W，精华*250
2000011	充20000钻返利	2	30000_30003_3,40000_50300082_1	Item/gift2.png	小金锤*3，神器（30级鞋子）*1
2000012	充30000钻返利	2	10000_1002_2500000,40000_50350102_1	Item/gift2.png	金币*250W，神器（35级项链）*1
2000013	充50000钻返利	2	30000_50003_10,30000_10001_10	Item/gift2.png	金钥匙*10，神器碎片*10
2000014	充85000钻返利	2	30000_90001_10,30001_41002_15	Item/gift2.png	BOSS卷轴*10，高级宝石袋*15
2000015	充125000钻返利	2	30000_30003_15,30000_10001_20	Item/gift2.png	小金锤*15，神器碎片*20
3000001	开服第1天奖励	3	10000_1001_20	Item/gift4.png	开服第1天奖励
3000002	开服第2天奖励	3	10000_1001_120	Item/gift4.png	开服第2天奖励
3000003	开服第3天奖励	3	10000_1001_20	Item/gift4.png	开服第3天奖励
3000004	开服第4天奖励	3	10000_1001_20	Item/gift4.png	开服第4天奖励
3000005	开服第5天奖励	3	10000_1001_125	Item/gift4.png	开服第5天奖励
3000006	开服第6天奖励	3	10000_1001_25	Item/gift4.png	开服第6天奖励
3000007	开服第7天奖励	3	10000_1001_25;40000_50301052_1_1,40000_50302052_1_2,40000_50303052_1_3	Item/gift4.png	开服第7天奖励
3000008	开服第8天奖励	3	10000_1001_125	Item/gift4.png	开服第8天奖励
3000009	开服第9天奖励	3	10000_1001_25	Item/gift4.png	开服第9天奖励
3000010	开服第10天奖励	3	10000_1001_25	Item/gift4.png	开服第10天奖励
3000011	开服第11天奖励	3	10000_1001_130	Item/gift4.png	开服第11天奖励
3000012	开服第12天奖励	3	10000_1001_30	Item/gift4.png	开服第12天奖励
3000013	开服第13天奖励	3	10000_1001_30	Item/gift4.png	开服第13天奖励
3000014	开服第14天奖励	3	10000_1001_135	Item/gift4.png	开服第14天奖励
3000015	开服第15天奖励	3	10000_1001_35	Item/gift4.png	开服第15天奖励
3000016	开服第16天奖励	3	10000_1001_35	Item/gift4.png	开服第16天奖励
3000017	开服第17天奖励	3	10000_1001_135	Item/gift4.png	开服第17天奖励
3000018	开服第18天奖励	3	10000_1001_35	Item/gift4.png	开服第18天奖励
3000019	开服第19天奖励	3	10000_1001_35	Item/gift4.png	开服第19天奖励
3000020	开服第20天奖励	3	10000_1001_140	Item/gift4.png	开服第20天奖励
3000021	开服第21天奖励	3	10000_1001_40	Item/gift4.png	开服第21天奖励
3000022	开服第22天奖励	3	10000_1001_40	Item/gift4.png	开服第22天奖励
3000023	开服第23天奖励	3	10000_1001_140	Item/gift4.png	开服第23天奖励
3000024	开服第24天奖励	3	10000_1001_45	Item/gift4.png	开服第24天奖励
3000025	开服第25天奖励	3	10000_1001_45	Item/gift4.png	开服第25天奖励
3000026	开服第26天奖励	3	10000_1001_145	Item/gift4.png	开服第26天奖励
3000027	开服第27天奖励	3	10000_1001_45	Item/gift4.png	开服第27天奖励
3000028	开服第28天奖励	3	10000_1001_45	Item/gift4.png	开服第28天奖励
3000029	开服第29天奖励	3	10000_1001_145	Item/gift4.png	开服第29天奖励
3000030	开服第30天奖励	3	10000_1001_50	Item/gift4.png	开服第30天奖励
4000001	连续签到第1天奖励	4	10000_1001_10	Item/gift2.png	连续签到第1天奖励
4000002	连续签到第2天奖励	4	10000_1001_15	Item/gift2.png	连续签到第2天奖励
4000003	连续签到第3天奖励	4	10000_1001_20	Item/gift2.png	连续签到第3天奖励
4000004	连续签到第4天奖励	4	10000_1001_25	Item/gift2.png	连续签到第4天奖励
4000005	连续签到第5天奖励	4	10000_1001_30	Item/gift2.png	连续签到第5天奖励
4000006	连续签到第6天奖励	4	10000_1001_35	Item/gift2.png	连续签到第6天奖励
4000007	连续签到第7天奖励	4	10000_1001_40	Item/gift2.png	连续签到第7天奖励
5000001	击败试炼谷boss奖励	5	10000_1001_30,30000_60001_10,10000_1009_1	Item/gift3.png	击败新手试炼boss奖励
5000002	击败北境古堡boss奖励	5	10000_1001_30,30000_60001_10,10000_1009_1	Item/gift3.png	击败怒焰裂谷boss奖励
5000003	击败日光森林boss奖励	5	10000_1001_30,30000_60001_10,10000_1009_1	Item/gift3.png	击败死亡矿井boss奖励
5000004	击败暮光湖boss奖励	5	10000_1001_30,30000_60001_10,10000_1009_1	Item/gift3.png	击败哀嚎洞穴boss奖励
5000005	击败嚎叫深渊boss奖励	5	10000_1001_45,30000_60001_20,10000_1009_1	Item/gift3.png	击败影牙城堡boss奖励
5000006	击败南风堡boss奖励	5	10000_1001_45,30000_60001_20,10000_1009_1	Item/gift3.png	击败黑暗深渊boss奖励
5000007	击败圣光教堂boss奖励	5	10000_1001_45,30000_60001_20,10000_1009_1	Item/gift3.png	击败暴风城监狱boss奖励
5000008	击败美酒地窖boss奖励	5	10000_1001_45,30000_60001_20,10000_1009_1	Item/gift3.png	击败剃刀沼泽boss奖励
5000009	击败钢铁之门boss奖励	5	10000_1001_60,30000_60001_30,10000_1009_1	Item/gift3.png	击败诺莫瑞根boss奖励
5000010	击败红龙巢穴boss奖励	5	10000_1001_60,30000_60001_30,10000_1009_1	Item/gift3.png	击败血色修道院boss奖励
5000011	击败双龙窟boss奖励	5	10000_1001_60,30000_60001_30,10000_1009_1	Item/gift3.png	击败剃刀高地boss奖励
5000012	击败血色熔炉boss奖励	5	10000_1001_60,30000_60001_30,10000_1009_1	Item/gift3.png	击败奥达曼boss奖励
5000013	击败绝望镇boss奖励	5	10000_1001_75,30000_60001_40,10000_1009_1	Item/gift3.png	击败祖尔法拉克boss奖励
5000014	击败艾达溶洞boss奖励	5	10000_1001_75,30000_60001_40,10000_1009_1	Item/gift3.png	击败玛拉顿boss奖励
5000015	击败城墙大门boss奖励	5	10000_1001_75,30000_60001_40,10000_1009_1	Item/gift3.png	击败沉没的神庙boss奖励
5000016	击败城墙中部boss奖励	5	10000_1001_75,30000_60001_40,10000_1009_1	Item/gift3.png	击败厄运之槌boss奖励
5000017	击败凛风城boss奖励	5	10000_1001_90,30000_60001_50,10000_1009_1	Item/gift3.png	击败黑石深渊boss奖励
5000018	击败古达姆boss奖励	5	10000_1001_90,30000_60001_50,10000_1009_1	Item/gift3.png	击败斯坦索姆boss奖励
5000019	击败密林实验室boss奖励	5	10000_1001_90,30000_60001_50,10000_1009_1	Item/gift3.png	击败通灵学院boss奖励
5000020	击败北海圣坛boss奖励	5	10000_1001_90,30000_60001_50,10000_1009_1	Item/gift3.png	击败黑石塔boss奖励
5000021	击败怒牙要塞boss奖励	5	10000_1001_115,30000_60001_60,10000_1009_1	Item/gift3.png	击败地狱火城墙boss奖励
5000022	击败尘沙堡boss奖励	5	10000_1001_115,30000_60001_60,10000_1009_1	Item/gift3.png	击败鲜血熔炉boss奖励
