id	奖励
1	10000_1002_30000
2	10000_1002_50000
3	10000_1002_80000,30000_50001_1
4	10000_1002_100000,30000_50002_1
5	10000_1002_150000,30000_60001_10
6	10000_1002_200000,30000_60001_15
7	10000_1002_250000,30000_60001_20,30000_90003_1
8	10000_1002_300000,30000_60001_25,30000_90003_1
9	10000_1002_400000,30000_60001_30,30000_90003_2,10000_1011_80
10	10000_1002_500000,30000_60001_35,30000_90003_2,10000_1011_100
11	10000_1002_600000,30000_60001_40,30000_90004_1,10000_1011_120
12	10000_1002_700000,30000_60001_45,30000_90004_1,10000_1011_140
13	10000_1002_800000,30000_60001_50,30000_90004_2,10000_1011_160
14	10000_1002_900000,30000_60001_55,30000_90004_2,10000_1011_180
15	10000_1002_1000000,30000_60001_60,30000_90005_1,10000_1011_200
