id	名称	类型	奖励	图标	描述
1000001	首充	1	10000_1001_30	Item/gift2.png	首充
1000002	首充	1	10000_1001_150	Item/gift2.png	首充
1000003	首充	1	10000_1001_300	Item/gift2.png	首充
1000004	首充	1	10000_1001_900	Item/gift2.png	首充
1000005	首充	1	10000_1001_1500	Item/gift2.png	首充
2000001	充100钻石返10钻石	2	10000_1001_10	Item/gift2.png	充100钻石返10钻石
2000002	充300钻石返30钻石	2	10000_1001_30	Item/gift2.png	充300钻石返30钻石
2000003	充500钻石返50钻石	2	10000_1001_50	Item/gift2.png	充500钻石返50钻石
2000004	充1000钻石返110钻石	2	10000_1001_110	Item/gift2.png	充1000钻石返110钻石
2000005	充2000钻石返230钻石	2	10000_1001_230	Item/gift2.png	充2000钻石返230钻石
2000006	充5000钻石返600钻石	2	10000_1001_600	Item/gift2.png	充5000钻石返600钻石
3000001	开服第1天奖励	3	10000_1001_20	Item/gift4.png	开服第1天奖励
3000002	开服第2天奖励	3	10000_1001_120	Item/gift4.png	开服第2天奖励
3000003	开服第3天奖励	3	10000_1001_20;40000_50201052_1_1,40000_50202052_1_2,40000_50203052_1_3	Item/gift4.png	开服第3天奖励
3000004	开服第4天奖励	3	10000_1001_20	Item/gift4.png	开服第4天奖励
3000005	开服第5天奖励	3	10000_1001_125	Item/gift4.png	开服第5天奖励
3000006	开服第6天奖励	3	10000_1001_25	Item/gift4.png	开服第6天奖励
3000007	开服第7天奖励	3	10000_1001_25;40000_50351062_1_1,40000_50352062_1_2,40000_50353062_1_3	Item/gift4.png	开服第7天奖励
3000008	开服第8天奖励	3	10000_1001_125	Item/gift4.png	开服第8天奖励
3000009	开服第9天奖励	3	10000_1001_25	Item/gift4.png	开服第9天奖励
3000010	开服第10天奖励	3	10000_1001_25	Item/gift4.png	开服第10天奖励
3000011	开服第11天奖励	3	10000_1001_130	Item/gift4.png	开服第11天奖励
3000012	开服第12天奖励	3	10000_1001_30	Item/gift4.png	开服第12天奖励
3000013	开服第13天奖励	3	10000_1001_30	Item/gift4.png	开服第13天奖励
3000014	开服第14天奖励	3	10000_1001_135	Item/gift4.png	开服第14天奖励
3000015	开服第15天奖励	3	10000_1001_35	Item/gift4.png	开服第15天奖励
3000016	开服第16天奖励	3	10000_1001_35	Item/gift4.png	开服第16天奖励
3000017	开服第17天奖励	3	10000_1001_135	Item/gift4.png	开服第17天奖励
3000018	开服第18天奖励	3	10000_1001_35	Item/gift4.png	开服第18天奖励
3000019	开服第19天奖励	3	10000_1001_35	Item/gift4.png	开服第19天奖励
3000020	开服第20天奖励	3	10000_1001_140	Item/gift4.png	开服第20天奖励
3000021	开服第21天奖励	3	10000_1001_40	Item/gift4.png	开服第21天奖励
3000022	开服第22天奖励	3	10000_1001_40	Item/gift4.png	开服第22天奖励
3000023	开服第23天奖励	3	10000_1001_140	Item/gift4.png	开服第23天奖励
3000024	开服第24天奖励	3	10000_1001_45	Item/gift4.png	开服第24天奖励
3000025	开服第25天奖励	3	10000_1001_45	Item/gift4.png	开服第25天奖励
3000026	开服第26天奖励	3	10000_1001_145	Item/gift4.png	开服第26天奖励
3000027	开服第27天奖励	3	10000_1001_45	Item/gift4.png	开服第27天奖励
3000028	开服第28天奖励	3	10000_1001_45	Item/gift4.png	开服第28天奖励
3000029	开服第29天奖励	3	10000_1001_145	Item/gift4.png	开服第29天奖励
3000030	开服第30天奖励	3	10000_1001_50	Item/gift4.png	开服第30天奖励
3000031	开服第31天奖励	3	10000_1001_50	Item/gift4.png	开服第31天奖励
3000032	开服第32天奖励	3	10000_1001_150	Item/gift4.png	开服第32天奖励
3000033	开服第33天奖励	3	10000_1001_50	Item/gift4.png	开服第33天奖励
3000034	开服第34天奖励	3	10000_1001_50	Item/gift4.png	开服第34天奖励
3000035	开服第35天奖励	3	10000_1001_150	Item/gift4.png	开服第35天奖励
3000036	开服第36天奖励	3	10000_1001_55	Item/gift4.png	开服第36天奖励
3000037	开服第37天奖励	3	10000_1001_55	Item/gift4.png	开服第37天奖励
3000038	开服第38天奖励	3	10000_1001_155	Item/gift4.png	开服第38天奖励
3000039	开服第39天奖励	3	10000_1001_55	Item/gift4.png	开服第39天奖励
3000040	开服第40天奖励	3	10000_1001_55	Item/gift4.png	开服第40天奖励
3000041	开服第41天奖励	3	10000_1001_155	Item/gift4.png	开服第41天奖励
3000042	开服第42天奖励	3	10000_1001_60	Item/gift4.png	开服第42天奖励
3000043	开服第43天奖励	3	10000_1001_60	Item/gift4.png	开服第43天奖励
3000044	开服第44天奖励	3	10000_1001_160	Item/gift4.png	开服第44天奖励
3000045	开服第45天奖励	3	10000_1001_60	Item/gift4.png	开服第45天奖励
3000046	开服第46天奖励	3	10000_1001_60	Item/gift4.png	开服第46天奖励
3000047	开服第47天奖励	3	10000_1001_160	Item/gift4.png	开服第47天奖励
3000048	开服第48天奖励	3	10000_1001_65	Item/gift4.png	开服第48天奖励
3000049	开服第49天奖励	3	10000_1001_65	Item/gift4.png	开服第49天奖励
3000050	开服第50天奖励	3	10000_1001_165	Item/gift4.png	开服第50天奖励
3000051	开服第51天奖励	3	10000_1001_65	Item/gift4.png	开服第51天奖励
3000052	开服第52天奖励	3	10000_1001_65	Item/gift4.png	开服第52天奖励
3000053	开服第53天奖励	3	10000_1001_165	Item/gift4.png	开服第53天奖励
3000054	开服第54天奖励	3	10000_1001_70	Item/gift4.png	开服第54天奖励
3000055	开服第55天奖励	3	10000_1001_70	Item/gift4.png	开服第55天奖励
3000056	开服第56天奖励	3	10000_1001_170	Item/gift4.png	开服第56天奖励
3000057	开服第57天奖励	3	10000_1001_70	Item/gift4.png	开服第57天奖励
3000058	开服第58天奖励	3	10000_1001_70	Item/gift4.png	开服第58天奖励
3000059	开服第59天奖励	3	10000_1001_170	Item/gift4.png	开服第59天奖励
3000060	开服第60天奖励	3	10000_1001_75	Item/gift4.png	开服第60天奖励
4000001	签到第1天奖励	4	10000_1002_1000	Item/gift2.png	签到第1天奖励
4000002	签到第2天奖励	4	10000_1001_10	Item/gift2.png	签到第2天奖励
4000003	签到第3天奖励	4	10000_1002_5000	Item/gift2.png	签到第3天奖励
4000004	签到第4天奖励	4	10000_1001_15,10000_1002_10000	Item/gift2.png	签到第4天奖励
4000005	签到第5天奖励	4	10000_1001_20,10000_1002_30000	Item/gift2.png	签到第5天奖励
4000006	签到第6天奖励	4	10000_1002_42000	Item/gift2.png	签到第6天奖励
4000007	签到第7天奖励	4	10000_1001_20,10000_1002_42000	Item/gift2.png	签到第7天奖励
