mapId	group	levelIndex	levelLimit	nextMapId	dependMap	rewardItem	monsterId(headPic)	name	monsterLevel	isBoss	quality	stageName	exp	coin
103001	1	1	30	103002	0	30000_90002_3,30000_90003_1,40000_50350105_1,40000_50303065_1,30000_11001_1	1030011	战士幻象	30	0	1	力量试炼（30）	660	660
103002	1	1	30	103003	103001	30000_90002_3,30000_90003_1,40000_50350075_1,40000_50301055_1,30000_11001_1	1030021	法力风暴	30	0	1	力量试炼（30）	660	660
103003	1	1	30	103004	103002	30000_90002_3,30000_90003_1,40000_50350045_1,40000_50301065_1,30000_11001_1	1030031	角斗士里奥	31	1	5	力量试炼（30）	690	690
103004	1	1	30	103005	103003	30000_90002_3,30000_90003_1,40000_50350025_1,40000_50302055_1,30000_11001_1	1030041	荒野游侠	31	0	1	力量试炼（30）	690	690
103005	1	1	30	103006	103004	30000_90002_3,30000_90003_1,40000_50350095_1,40000_50303055_1,30000_11001_1	1030051	憾地者	31	0	1	力量试炼（30）	690	690
103006	1	1	30	103007	103005	30000_90002_3,30000_90003_1,40000_50350085_1,40000_50300015_1,30000_11001_1	1030061	拉兹	32	1	5	力量试炼（30）	720	720
103007	1	1	30	103008	103006	30000_90002_3,30000_90003_1,40000_50350015_1,40000_50351066_1,30000_11001_1	1030071	塔克	32	0	1	力量试炼（30）	720	720
103008	1	1	30	103009	103007	30000_90002_3,30000_90003_1,40000_50350035_1,40000_50302065_1,30000_11001_1	1030081	狂野安东尼	33	0	1	力量试炼（30）	750	750
103009	1	1	30	0	103008	30000_90002_3,30000_90003_1,40000_50351055_1,40000_50300035_1,30000_11001_1	1030091	巡林者瑞克	34	1	5	力量试炼（30）	780	780
103501	1	2	35	103502	0	30000_90002_3,30000_90003_1,40000_50400015_1,40000_50353065_1,30000_11001_1	1035011	战士幻象	35	0	1	力量试炼（35）	810	810
103502	1	2	35	103503	103501	30000_90002_3,30000_90003_1,40000_50400095_1,40000_50352055_1,30000_11001_1	1035021	法力风暴	35	0	1	力量试炼（35）	810	810
103503	1	2	35	103504	103502	30000_90002_3,30000_90003_1,40000_50400045_1,40000_50351055_1,30000_11001_1	1035031	角斗士里奥	36	1	5	力量试炼（35）	840	840
103504	1	2	35	103505	103503	30000_90002_3,30000_90003_1,40000_50400085_1,40000_50401065_1,30000_11001_1	1035041	荒野游侠	36	0	1	力量试炼（35）	840	840
103505	1	2	35	103506	103504	30000_90002_3,30000_90003_1,40000_50400075_1,40000_50351065_1,30000_11001_1	1035051	憾地者	36	0	1	力量试炼（35）	840	840
103506	1	2	35	103507	103505	30000_90002_3,30000_90003_1,40000_50400025_1,40000_50350015_1,30000_11001_1	1035061	拉兹	37	1	5	力量试炼（35）	870	870
103507	1	2	35	103508	103506	30000_90002_3,30000_90003_1,40000_50400105_1,40000_50353055_1,30000_11001_1	1035071	塔克	37	0	1	力量试炼（35）	870	870
103508	1	2	35	103509	103507	30000_90002_3,30000_90003_1,40000_50400035_1,40000_50350035_1,30000_11001_1	1035081	狂野安东尼	38	0	1	力量试炼（35）	900	900
103509	1	2	35	0	103508	30000_90002_3,30000_90003_1,40000_50401056_1,40000_50352065_1,30000_11001_1	1035091	巡林者瑞克	39	1	5	力量试炼（35）	930	930
104001	1	3	40	104002	0	30000_90002_3,30000_90003_1,40000_50450025_1,40000_50403065_1,30000_11001_1	1040011	战士幻象	40	0	1	力量试炼（40）	960	960
104002	1	3	40	104003	104001	30000_90002_3,30000_90003_1,40000_50450105_1,40000_50400015_1,30000_11001_1	1040021	法力风暴	40	0	1	力量试炼（40）	960	960
104003	1	3	40	104004	104002	30000_90002_3,30000_90003_1,40000_50450045_1,40000_50401055_1,30000_11001_1	1040031	角斗士里奥	41	1	5	力量试炼（40）	1000	1000
104004	1	3	40	104005	104003	30000_90002_3,30000_90003_1,40000_50450075_1,40000_50401065_1,30000_11001_1	1040041	荒野游侠	41	0	1	力量试炼（40）	1000	1000
104005	1	3	40	104006	104004	30000_90002_3,30000_90003_1,40000_50450035_1,40000_50402065_1,30000_11001_1	1040051	憾地者	41	0	1	力量试炼（40）	1000	1000
104006	1	3	40	104007	104005	30000_90002_3,30000_90003_1,40000_50450095_1,40000_50402055_1,30000_11001_1	1040061	拉兹	42	1	5	力量试炼（40）	1040	1040
104007	1	3	40	104008	104006	30000_90002_3,30000_90003_1,40000_50450015_1,40000_50451065_1,30000_11001_1	1040071	塔克	42	0	1	力量试炼（40）	1040	1040
104008	1	3	40	104009	104007	30000_90002_3,30000_90003_1,40000_50450085_1,40000_50400035_1,30000_11001_1	1040081	狂野安东尼	43	0	1	力量试炼（40）	1080	1080
104009	1	3	40	0	104008	30000_90002_3,30000_90003_1,40000_50451055_1,40000_50403055_1,30000_11001_1	1040091	巡林者瑞克	44	1	5	力量试炼（40）	1120	1120
104501	1	4	45	104502	0	30000_90002_3,30000_90003_1,40000_50500045_1,40000_50452065_1,30000_11001_1	1045011	战士幻象	45	0	1	力量试炼（45）	1160	1160
104502	1	4	45	104503	104501	30000_90002_3,30000_90003_1,40000_50500075_1,40000_50451065_1,30000_11001_1	1045021	法力风暴	45	0	1	力量试炼（45）	1160	1160
104503	1	4	45	104504	104502	30000_90002_3,30000_90003_1,40000_50500025_1,40000_50452055_1,30000_11001_1	1045031	角斗士里奥	46	1	5	力量试炼（45）	1200	1200
104504	1	4	45	104505	104503	30000_90002_3,30000_90003_1,40000_50500105_1,40000_50453055_1,30000_11001_1	1045041	荒野游侠	46	0	1	力量试炼（45）	1200	1200
104505	1	4	45	104506	104504	30000_90002_3,30000_90003_1,40000_50500095_1,40000_50451055_1,30000_11001_1	1045051	憾地者	46	0	1	力量试炼（45）	1200	1200
104506	1	4	45	104507	104505	30000_90002_3,30000_90003_1,40000_50500085_1,40000_50453065_1,30000_11001_1	1045061	拉兹	47	1	5	力量试炼（45）	1240	1240
104507	1	4	45	104508	104506	30000_90002_3,30000_90003_1,40000_50500035_1,40000_50501066_1,30000_11001_1	1045071	塔克	47	0	1	力量试炼（45）	1240	1240
104508	1	4	45	104509	104507	30000_90002_3,30000_90003_1,40000_50500015_1,40000_50450035_1,30000_11001_1	1045081	狂野安东尼	48	0	1	力量试炼（45）	1280	1280
104509	1	4	45	0	104508	30000_90002_3,30000_90003_1,40000_50501056_1,40000_50450015_1,30000_11001_1	1045091	巡林者瑞克	49	1	5	力量试炼（45）	1320	1320
105001	1	5	50	105002	0	30000_90002_3,30000_90003_1,40000_50550045_1,40000_50502065_1,30000_11001_1	1050011	战士幻象	50	0	1	力量试炼（50）	1360	1360
105002	1	5	50	105003	105001	30000_90002_3,30000_90003_1,40000_50550015_1,40000_50501055_1,30000_11001_1	1050021	法力风暴	50	0	1	力量试炼（50）	1360	1360
105003	1	5	50	105004	105002	30000_90002_3,30000_90003_1,40000_50550105_1,40000_50503055_1,30000_11001_1	1050031	角斗士里奥	51	1	5	力量试炼（50）	1400	1400
105004	1	5	50	105005	105003	30000_90002_3,30000_90003_1,40000_50550075_1,40000_50503065_1,30000_11001_1	1050041	荒野游侠	51	0	1	力量试炼（50）	1400	1400
105005	1	5	50	105006	105004	30000_90002_3,30000_90003_1,40000_50550085_1,40000_50551066_1,30000_11001_1	1050051	憾地者	51	0	1	力量试炼（50）	1400	1400
105006	1	5	50	105007	105005	30000_90002_3,30000_90003_1,40000_50550035_1,40000_50500035_1,30000_11001_1	1050061	拉兹	52	1	5	力量试炼（50）	1440	1440
105007	1	5	50	105008	105006	30000_90002_3,30000_90003_1,40000_50550025_1,40000_50501065_1,30000_11001_1	1050071	塔克	52	0	1	力量试炼（50）	1440	1440
105008	1	5	50	105009	105007	30000_90002_3,30000_90003_1,40000_50550095_1,40000_50500015_1,30000_11001_1	1050081	狂野安东尼	53	0	1	力量试炼（50）	1480	1480
105009	1	5	50	0	105008	30000_90002_3,30000_90003_1,40000_50551055_1,40000_50502055_1,30000_11001_1	1050091	巡林者瑞克	54	1	5	力量试炼（50）	1520	1520
105501	1	6	55	105502	0	30000_90002_3,30000_90003_1,40000_50600025_1,40000_50550035_1,30000_11001_1	1055011	战士幻象	55	0	1	力量试炼（55）	1560	1560
105502	1	6	55	105503	105501	30000_90002_3,30000_90003_1,40000_50600105_1,40000_50553055_1,30000_11001_1	1055021	法力风暴	55	0	1	力量试炼（55）	1560	1560
105503	1	6	55	105504	105502	30000_90002_3,30000_90003_1,40000_50600045_1,40000_50601065_1,30000_11001_1	1055031	角斗士里奥	56	1	5	力量试炼（55）	1600	1600
