等级	所需经验
1	10
2	30
3	210
4	670
5	1530
6	2910
7	4930
8	7710
9	11370
10	16030
11	21810
12	28830
13	37210
14	47070
15	58530
16	71710
17	86730
18	103710
19	122770
20	144030
21	167610
22	193630
23	222210
24	253470
25	287530
26	324510
27	364530
28	407710
29	454170
30	504030
31	557410
32	614430
33	675210
34	739870
35	808530
36	881310
37	958330
38	1039710
39	1125570
40	1216030
41	1311210
42	1411230
43	1516210
44	1626270
45	1741530
46	1862110
47	1988130
48	2119710
49	2256970
50	2400030
51	2549010
52	2704030
53	2865210
54	3032670
55	3206530
56	3386910
57	3573930
58	3767710
59	3968370
60	4176030
61	4390810
62	4612830
63	4842210
64	5079070
65	5323530
66	5575710
67	5835730
68	6103710
69	6379770
70	6664030
71	7014250
72	8072110
73	9199540
74	10394740
75	11656120
76	12982200
77	14371660
78	15823280
79	17335950
80	18908630
81	20540350
82	22230200
83	23977340
84	25780990
85	27640380
86	29554810
87	31523610
88	33546150
89	35621820
90	37750040
91	39930270
92	42161970
93	44444640
94	46777800
95	49160990
96	51593760
97	54075670
98	56606320
99	59185310
100	61812250
