id	rewardItems
1	10000_1002_500000,40000_50200030_1
2	10000_1002_500000,30000_10001_5
3	10000_1002_800000
4	10000_1002_800000,30000_10001_5
5	10000_1002_1000000
6	10000_1002_1200000
7	10000_1002_1200000,30000_10001_5
8	10000_1002_1500000
9	10000_1002_1800000
10	10000_1002_2000000,30000_10001_5
11	30000_10016_1
12	30000_10015_1
13	30000_10014_1
14	30000_10013_1
15	10000_1002_10000
16	10000_1001_100,10000_1002_500000
17	10000_1001_150,10000_1002_600000
18	10000_1001_350,10000_1002_700000
19	10000_1001_400,10000_1002_800000
20	10000_1001_450,10000_1002_900000
21	10000_1001_750,10000_1002_1000000
22	10000_1001_800,10000_1002_1100000
23	10000_1001_850,10000_1002_1200000
24	10000_1001_900,10000_1002_1300000
25	10000_1001_950,10000_1002_1400000
26	10000_1001_1000,10000_1002_1500000
27	10000_1001_100,10000_1002_300000
28	10000_1001_400,30000_40004_10
29	10000_1001_500,30000_40005_5
30	10000_1001_1
31	30000_40004_1
32	30000_40005_1
