id	名称(name)	类型(type)	等级限制(levelLimit)	职业限制(profLimit)	出售价格(price)	配对物品(needItem)	包含物品(containItem)	宝石升级消耗(levelUpCost)	宝石升级概率(levelUpRate)	宝石升级目标(levelUpItem)	力量(strenght)	敏捷(agility)	智力(intellect)	耐力(stamina)	物品图标	升级目标最大消耗	物品描述	兑换需要熔炼值	品质	页面跳转
60001	强化精华	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/3.png	0	装备强化时使用，可以通过战胜BOSS获得	0	1	0
41001	宝石袋	8	0	0	0	0	3000006_0_1_10000	0	0	0	0	0	0	0	Item/12.png	0	使用后获得1颗1级宝石	0	1	0
41002	高级宝石袋	8	0	0	0	0	3000005_0_1_10000	0	0	0	0	0	0	0	Item/13.png	0	使用后获得1颗4级宝石	0	1	0
70001	礼包	7	0	0	0	0	30001_2_1,30001_1_50	0	0	0	0	0	0	0	Item/gift1.png	0	这个是礼包	0	1	0
50001	铜钥匙	5	0	0	0	40001	0	0	0	0	0	0	0	0	Item/21.png	0	可以用来打开在地图里打怪时发现的铜宝箱	0	2	0
50002	银钥匙	5	0	0	0	40002	0	0	0	0	0	0	0	0	Item/22.png	0	可以用来打开在地图里打怪时发现的银宝箱	0	3	0
50003	金钥匙	5	0	0	0	40003	0	0	0	0	0	0	0	0	Item/23.png	0	可以用来打开在地图里打怪时发现的金宝箱	0	4	0
40001	铜宝箱	4	0	0	0	50001	3000004_0_1_10000	0	0	0	0	0	0	0	Item/31.png	0	铜宝箱	0	1	0
40002	银宝箱	4	0	0	0	50002	3000003_0_1_10000	0	0	0	0	0	0	0	Item/32.png	0	银宝箱	0	1	0
40003	金宝箱	4	0	0	0	50003	3000002_0_1_10000	0	0	0	0	0	0	0	Item/33.png	0	金宝箱	0	1	0
40004	冒险者宝箱	12	0	0	0	0	30000_60001_6_5000,30000_90001_1_700,30000_30001_1_500,30000_30002_1_300,30000_30003_1_100,3000007_0_1_10000,30000_60001_10_2000	0	0	0	0	0	0	0	Item/31.png	0	冒险者宝箱，活动期间挂机可意外获得，也许藏着什么不错的东西。	0	2	0
40005	英雄宝箱	12	0	0	0	0	30000_60001_50_3500,3000008_0_1_10000,30000_10001_1_3000,30000_10001_2_700,30000_10001_3_200,30000_10001_10_20,30000_90001_2_1200,30000_41002_1_2000,30000_50001_10_1700,30000_50002_5_1200,30000_50003_2_600	0	0	0	0	0	0	0	Item/33.png	0	英雄宝箱，活动期间挑战BOSS可以获得，各大地精商店也有出售，隐约闪烁着神器的光芒。	0	4	0
40004	冒险者宝箱	12	0	0	0	0	30000_60001_6_5000,10000_1011_20_2500,30000_90001_1_700,30000_30001_1_500,30000_30002_1_300,30000_30003_1_100,3000007_0_1_10000	0	0	0	0	0	0	0	Item/31.png	0	冒险者宝箱，活动期间挂机可意外获得，也许藏着什么不错的东西。	0	2	0
40005	英雄宝箱	12	0	0	0	0	30000_60001_50_2000,3000009_0_1_4000,40000_50300012_1_70,40000_50300032_1_70,40000_50300092_1_70,3000008_0_1_10000,30000_10001_1_2000,30000_90001_2_1000,30000_41002_2_800,30000_50001_10_1000,30000_50002_5_700,30000_50003_2_500	0	0	0	0	0	0	0	Item/33.png	0	英雄宝箱，活动期间挑战BOSS可以获得，各大地精商店也有出售，隐约闪烁着神器的光芒。	0	4	0
